name,review_count,categories,rating,coordinates,price,phone,address
Oliveira's Liquors,5,beer_and_wine,4,"37.5408455,-122.02635319093656",$$,15107974949,"['5650 Thornton Ave', 'Newark, CA 94560']"
Philz Coffee,1439,"coffee,breakfast_brunch",4.5,"37.77557759694534,-122.39341805559233",$,14158759943,"['201 Berry St', 'San Francisco, CA 94158']"
Pink Elephant Bakery,258,bakeries,4,"37.3451,-121.84873",$,14089233436,"['415 S King Rd', 'San Jose, CA 95116']"
Portside Bakery,15,bakeries,4.5,"37.728129,-122.477554",0,0,"['3251 20th Ave', 'San Francisco, CA 94132']"
Proper Food,27,"salad,breakfast_brunch,sandwiches",4.5,"37.790553525418,-122.399481132726",$$,14158628740,"['525 Market St', 'San Francisco, CA 94105']"
R&B Tea - San Jose,167,tea,3,"37.33227887703843,-121.85884980222185",$$,14087552183,"['929 Story Rd', 'Ste 2039', 'San Jose, CA 95122']"
Rose Market - Saratoga,260,"catering,intlgrocery,persian",3.5,"37.25842,-122.03327",$$,14088671666,"['14445 Big Basin Way', 'Saratoga, CA 95070']"
Sancho's Taqueria,388,"mexican,seafood,breakfast_brunch",3.5,"37.4335708618164,-122.12890625",$$,16503248226,"['2723 Middlefield Rd', 'Palo Alto, CA 94306']"
Starbird Chicken,912,"chickenshop,sandwiches,salad",4,"37.374628,-122.057104",$$,16509886630,"['1241 W El Camino Real', 'Sunnyvale, CA 94087']"
Starbucks,123,coffee,3,"37.4851397,-122.23109318",$$,16503666205,"['1045 El Camino Real', 'Redwood City, CA 94063']"
STARBUCKS COFFEE,83,coffee,2.5,"37.29466707,-121.9627709",$$,14083782652,"['771 W Hamilton Ave', 'Campbell, CA 95008']"
Stella Pastry & Cafe,1491,"bakeries,coffee",4,"37.79918,-122.40828",$$,14159862914,"['446 Columbus Ave', 'San Francisco, CA 94133']"
Taproot,26,"wine_bars,coffee,sandwiches",3,"37.7667841088128,-122.388016622039",$$,14159151005,"['409 Illinois St', 'San Francisco, CA 94158']"
The Little Cakes,122,"gluten_free,desserts,cupcakes",5,"37.431480407714844,-121.89144134521484",$$,14084048204,"['Milpitas , CA 95035']"
Underdogs Too,391,"mexican,sportsbars,breakfast_brunch",4,"37.74202,-122.5048",$$,14157598112,"['3600 Taraval St', 'San Francisco, CA 94116']"
USCG Galley,4,"newamerican,breakfast_brunch,publicservicesgovt",4,"37.8206901550293,-122.369560241699",$,0,"['100 Healy Ave', 'United States Coast Guard Base Alameda', 'San Francisco, CA 94130']"
Van Loi Bakery,5,bakeries,3.5,"37.3567357,-121.9010266",$,14082871899,"['170 E Younger Ave', 'San Jose, CA 95112']"
Verve Coffee Roasters,286,"coffee,coffeeroasteries",4,"37.44407033,-122.16323967",$$,18314403978,"['162 University Ave', 'Palo Alto, CA 94301']"
Wicked Wiches Cafe,6,"cafes,delis",5,"37.78588011812357,-122.4195196",0,0,"['994 Polk St', 'San Francisco, CA 94109']"
Y So Sweet,16,"desserts,candy",5,"37.763797760009766,-122.16394805908203",$,15102823825,"['Oakland, CA 94605']"
Yomieâ€™s Rice x Yogurt,134,icecream,4,"37.41942,-121.91574",0,0,"['690 Barber Ln', 'Milpitas, CA 95035']"
